LATITUDE,LONGITUDE,FIRE_YEAR,FIRE_SIZE,STATE
34.01222222,-109.4980556,2005,0.1,AZ
33.28416667,-108.6508333,2005,0.5,NM
35.1525,-111.8016667,2005,0.1,AZ
35.32388889,-111.5255556,2005,0.1,AZ
48.82305556,-114.9838889,2005,7,MT
32.82027778,-116.5897222,2005,0.1,CA
34.18638889,-117.8713889,2005,0.2,CA
35.32388889,-111.5255556,2005,0.1,AZ
35.33,-111.7513889,2005,3,AZ
32.73472222,-116.6847222,2005,0.1,CA
34.68694444,-119.1080556,2005,0.1,CA
34.05833333,-109.5572222,2005,0.1,AZ
35.35361111,-111.4930556,2005,0.1,AZ
35.355,-111.5005556,2005,0.2,AZ
48.34944444,-115.8938889,2005,0.1,MT
33.83388889,-109.4944444,2005,0.1,AZ
34.11083333,-109.5630556,2005,0.1,AZ
39.06666667,-119.8111111,2005,0.1,NV
48.49722222,-115.9222222,2005,1,MT
48.53888889,-115.9347222,2005,0.1,MT
39.01972222,-119.8625,2005,0.1,NV
43.8125,-103.5930556,2005,0.1,SD
33.83388889,-109.4858333,2005,0.1,AZ
48.56083333,-115.9113889,2005,0.2,MT
43.72666667,-102.7627778,2005,0.9,SD
36.81472222,-107.2166667,2005,0.1,NM
43.78888889,-103.5277778,2005,0.1,SD
48.35555556,-115.8694444,2005,0.1,MT
48.48222222,-115.8572222,2005,0.1,MT
34.33611111,-110.7330556,2005,0.1,AZ
43.85555556,-103.4166667,2005,0.25,SD
48.35138889,-115.89,2005,0.1,MT
48.43333333,-115.8466667,2005,0.5,MT
29.18805556,-81.88861111,2005,0.1,FL
34.41916667,-81.57805556,2005,0.25,SC
34.41805556,-81.50916667,2005,1.55,SC
35.75777778,-105.6619444,2005,0.1,NM
35.67361111,-105.4555556,2005,0.1,NM
35.77,-105.6619444,2005,0.1,NM
48.49694444,-115.9186111,2005,0.3,MT
35.54361111,-105.5013889,2005,0.5,NM
43.77444444,-103.5069444,2005,0.1,SD
48.53777778,-115.9347222,2005,0.1,MT
43.7575,-103.6888889,2005,0.1,SD
38.88916667,-105.41,2005,0.1,CO
38.91111111,-105.4241667,2005,0.1,CO
34.43583333,-110.9844444,2005,0.1,AZ
43.59638889,-103.5686111,2005,0.1,SD
34.32305556,-110.9486111,2005,0.1,AZ
34.35361111,-110.7611111,2005,3,AZ
39.11222222,-122.8166667,2005,8,CA
43.81805556,-103.5894444,2005,0.1,SD
40.42666667,-121.0494444,2005,0.1,CA
43.66333333,-103.5886111,2005,0.1,SD
35.98333333,-106.75,2005,0.25,NM
35.94944444,-106.7155556,2005,0.1,NM
43.82083333,-103.7477778,2005,0.1,SD
36.43333333,-106.95,2005,3,NM
36.01833333,-107.0211111,2005,0.25,NM
43.77444444,-103.6672222,2005,0.75,SD
35.98611111,-106.7636111,2005,1,NM
43.59916667,-103.7091667,2005,1.4,SD
35.98333333,-106.7833333,2005,0.1,NM
43.75194444,-103.7338889,2005,0.1,SD
38.79083333,-119.8597222,2005,0.1,CA
47.55555556,-93.985,2005,0.1,MN
47.55916667,-93.98666667,2005,0.1,MN
47.56,-93.98805556,2005,0.1,MN
47.50583333,-93.56694444,2005,0.1,MN
47.61277778,-93.67916667,2005,0.1,MN
47.42472222,-94.00527778,2005,0.1,MN
35.29083333,-111.6688889,2005,0.1,AZ
35.33361111,-111.5094444,2005,0.1,AZ
47.11777778,-94.50416667,2005,0.1,MN
35.55138889,-105.765,2005,0.75,NM
35.56694444,-105.4455556,2005,0.25,NM
35.27388889,-111.5866667,2005,0.1,AZ
35.70111111,-105.8133333,2005,1,NM
47.1175,-94.51,2005,0.1,MN
35.72888889,-105.7611111,2005,0.5,NM
